source,model_kind,modality,model_family,name,partition,scope,scope_type,comparable_scope,groups,variant_type,n,acc,macro_f1,macro_recall,macro_precision,weighted_f1,variant_precision,variant_recall,variant_specificity,variant_balanced_acc,variant_f1,variant_f2,variant_tp,variant_tn,variant_fp,variant_fn,binary_acc,binary_balanced_acc,binary_precision,binary_recall,binary_specificity,binary_f1,binary_f2
checkpoint,unimodal,ont,,unimodal_ont,test,ont_view_INDEL,view_variant_type,ont_view_INDEL,"1,11",INDEL,278374,0.9977691882144166,0.9783855031579017,0.9670752239481871,0.9907504111236335,0.9977260832822411,0.9950552646887724,0.9546976744186045,0.9998094341314681,0.9772535542750362,0.9744587922516839,0.9625051581196232,10263,267573,51,487,0.9980673482437297,0.9772535542750362,0.9950552646887724,0.9546976744186045,0.9998094341314681,0.9744587922516839,0.9625051581196232
checkpoint,unimodal,ont,,unimodal_ont,test,group_1,group,group_1,1,ALL,278573,0.9986251359607715,0.8497780051268848,0.8615659428019803,0.8411854658103998,0.998599769488932,0.7412480974124798,0.7140762463343098,0.9993882493495652,0.8567322478419375,0.7274085138157798,0.719350073855047,487,277721,170,195,0.9986897509808919,0.8567322478419375,0.7412480974124798,0.7140762463343098,0.9993882493495652,0.7274085138157798,0.719350073855047
checkpoint,unimodal,ont,,unimodal_ont,test,group_11,group,group_11,11,ALL,122486,0.9959423934163905,0.875657218026978,0.9822141382310146,0.8233436039757156,0.9964692340038861,0.999868620930328,0.996970664570694,0.9538904899135419,0.9754305772421179,0.9984175398889737,0.9975489111822377,121769,331,16,370,0.9968486194340578,0.9754305772421179,0.999868620930328,0.996970664570694,0.9538904899135419,0.9984175398889737,0.9975489111822377
checkpoint,unimodal,ont,,unimodal_ont,test,variant_SNP,variant_type,variant_SNP,ALL,SNP,122685,0.997888902473815,0.9958000667636417,0.9950803736855072,0.9965246286685169,0.9978869061514108,0.9987960188356164,0.9993040126348476,0.9872809496890897,0.9932924811619687,0.999049951158961,0.9992023725400025,111993,10479,135,78,0.9982638464359946,0.9932924811619687,0.9987960188356164,0.9993040126348476,0.9872809496890897,0.999049951158961,0.9992023725400025
checkpoint,unimodal,ont,,unimodal_ont,test,variant_INDEL,variant_type,variant_INDEL,ALL,INDEL,278374,0.9977691882144166,0.9783855031579017,0.9670752239481871,0.9907504111236335,0.9977260832822411,0.9950552646887724,0.9546976744186045,0.9998094341314681,0.9772535542750362,0.9744587922516839,0.9625051581196232,10263,267573,51,487,0.9980673482437297,0.9772535542750362,0.9950552646887724,0.9546976744186045,0.9998094341314681,0.9744587922516839,0.9625051581196232
checkpoint,hybrid,hybrid,hybrid_simple_3c,hybrid_simple,test,hybrid_all,view,hybrid_all,"1,10,11",ALL,538578,0.9989082361329278,0.9982285314826046,0.9983168000462593,0.9981407207781539,0.9989085722590579,0.9976084591758383,0.9980794622494299,0.9992771020253232,0.9986782821373765,0.9978439051313257,0.9979852260577563,124725,413314,299,240,0.9989992164551839,0.9986782821373765,0.9976084591758383,0.9980794622494299,0.9992771020253232,0.9978439051313257,0.9979852260577563
checkpoint,hybrid,hybrid,hybrid_simple_3c,hybrid_simple,test,illumina_view,view,illumina_view,"10,11",ALL,260005,0.9988730985942578,0.9988617170764093,0.9990579276245114,0.9986678249341979,0.9988736545888772,0.9982164950110063,0.9997505692653058,0.9983643035027483,0.999057436384027,0.9989829431930584,0.9994433773159774,124252,135500,222,31,0.999026941789581,0.999057436384027,0.9982164950110063,0.9997505692653058,0.9983643035027483,0.9989829431930584,0.9994433773159774
checkpoint,hybrid,hybrid,hybrid_simple_3c,hybrid_simple,test,ont_view,view,ont_view,"1,11",ALL,401059,0.9991198302494146,0.9988400228579359,0.9985945410960197,0.9990859187182344,0.9991195953031405,0.999217578405164,0.9982006334421638,0.9996549716429819,0.9989278025425729,0.9987088470447147,0.9984038568029533,122600,278142,96,221,0.999209592603582,0.9989278025425729,0.999217578405164,0.9982006334421638,0.9996549716429819,0.9987088470447147,0.9984038568029533
checkpoint,hybrid,hybrid,hybrid_simple_3c,hybrid_simple,test,hybrid_all_SNP,view_variant_type,hybrid_all_SNP,"1,10,11",SNP,253151,0.9987003804053707,0.9986857597577891,0.9990325379543648,0.9983426488220356,0.9987012303766047,0.9975389153457958,0.9997595768552653,0.9980333548693991,0.9988964658623323,0.9986480115981373,0.9993146539445448,112275,140572,277,27,0.9987991356937164,0.9988964658623323,0.9975389153457958,0.9997595768552653,0.9980333548693991,0.9986480115981373,0.9993146539445448
checkpoint,hybrid,hybrid,hybrid_simple_3c,hybrid_simple,test,hybrid_all_INDEL,view_variant_type,hybrid_all_INDEL,"1,10,11",INDEL,285427,0.9990925875968286,0.9927912149715671,0.9882719643088601,0.9974158946735567,0.9990870708366123,0.998236048749198,0.9831793413882964,0.9999193441949817,0.9915493427916391,0.9906504873677114,0.9861542361065122,12450,272742,22,213,0.9991766721438406,0.9915493427916391,0.998236048749198,0.9831793413882964,0.9999193441949817,0.9906504873677114,0.9861542361065122
