source_csv,source,model_kind,modality,model_family,name,partition,scope,scope_type,comparable_scope,groups,variant_type,n,acc,macro_f1,macro_recall,macro_precision,weighted_f1,variant_precision,variant_recall,variant_specificity,variant_balanced_acc,variant_f1,variant_f2,variant_tp,variant_tn,variant_fp,variant_fn,binary_acc,binary_balanced_acc,binary_precision,binary_recall,binary_specificity,binary_f1,binary_f2
unimodal_ont.csv,checkpoint,unimodal,ont,,unimodal_ont,test,ont_view,view,ont_view,"1,11",ALL,409353,0.9985049578236876,0.998059303836336,0.9973316285852122,0.9987935714611466,0.9985032187775712,0.9992978961376124,0.9960127916154704,0.9996997835648956,0.9978562875901832,0.9976526395574136,0.996668083463821,122403,286374,86,490,0.9985929014811178,0.9978562875901832,0.9992978961376124,0.9960127916154704,0.9996997835648956,0.9976526395574136,0.996668083463821
unimodal_ont.csv,checkpoint,unimodal,ont,,unimodal_ont,test,ont_view_SNP,view_variant_type,ont_view_SNP,"1,11",SNP,114214,0.9986954313831928,0.9885830932584352,0.9881233061628012,0.9890443884334968,0.998694532425914,0.9993941499835172,0.999447577806884,0.9656739020696612,0.9825607399382724,0.999420863180654,0.9994368917850134,112171,1913,68,62,0.998861785770571,0.9825607399382724,0.9993941499835172,0.999447577806884,0.9656739020696612,0.999420863180654,0.9994368917850134
unimodal_ont.csv,checkpoint,unimodal,ont,,unimodal_ont,test,ont_view_INDEL,view_variant_type,ont_view_INDEL,"1,11",INDEL,295139,0.9984312476494126,0.9854771276450696,0.97453544252274,0.9972595794343684,0.9984038118678978,0.9982439024390242,0.9598499061913696,0.9999367264367492,0.9798933163140592,0.9786704925867789,0.9672906031383942,10232,284461,18,428,0.998488847627728,0.9798933163140592,0.9982439024390242,0.9598499061913696,0.9999367264367492,0.9786704925867789,0.9672906031383942
unimodal_ont.csv,checkpoint,unimodal,ont,,unimodal_ont,test,group_1,group,group_1,1,ALL,286875,0.9984139433551198,0.7704390115303839,0.754382103339724,0.8350668689134907,0.9981305001958908,0.787958115183244,0.460244648318042,0.9997170018971354,0.7299808251075888,0.5810810810806144,0.5020013342226753,301,286140,81,353,0.998487145969499,0.7299808251075888,0.787958115183244,0.460244648318042,0.9997170018971354,0.5810810810806144,0.5020013342226753
unimodal_ont.csv,checkpoint,unimodal,ont,,unimodal_ont,test,group_11,group,group_11,11,ALL,122478,0.9987181371348324,0.92197194711175,0.9922716711114732,0.8767998472050644,0.998842979236821,0.9999590523065836,0.9988792447582197,0.9790794979079456,0.9889793713330826,0.9994188568664018,0.9990950196622572,122102,234,5,137,0.9988406081092116,0.9889793713330826,0.9999590523065836,0.9988792447582197,0.9790794979079456,0.9994188568664018,0.9990950196622572
unimodal_ont.csv,checkpoint,unimodal,ont,,unimodal_ont,test,variant_SNP,variant_type,variant_SNP,ALL,SNP,114214,0.9986954313831928,0.9885830932584352,0.9881233061628012,0.9890443884334968,0.998694532425914,0.9993941499835172,0.999447577806884,0.9656739020696612,0.9825607399382724,0.999420863180654,0.9994368917850134,112171,1913,68,62,0.998861785770571,0.9825607399382724,0.9993941499835172,0.999447577806884,0.9656739020696612,0.999420863180654,0.9994368917850134
unimodal_ont.csv,checkpoint,unimodal,ont,,unimodal_ont,test,variant_INDEL,variant_type,variant_INDEL,ALL,INDEL,295139,0.9984312476494126,0.9854771276450696,0.97453544252274,0.9972595794343684,0.9984038118678978,0.9982439024390242,0.9598499061913696,0.9999367264367492,0.9798933163140592,0.9786704925867789,0.9672906031383942,10232,284461,18,428,0.998488847627728,0.9798933163140592,0.9982439024390242,0.9598499061913696,0.9999367264367492,0.9786704925867789,0.9672906031383942
hybrid_simple.csv,checkpoint,hybrid,hybrid,hybrid_simple_3c,hybrid_simple,test,hybrid_all,view,hybrid_all,"1,10,11",ALL,470726,0.998939935333931,0.9985225380092438,0.997959268955548,0.9990888761958644,0.9989390617365492,0.9992639764472464,0.9968873210209588,0.9997336668287824,0.9983104939248706,0.998074233888189,0.9973617472513542,124904,345340,92,390,0.9989760497614324,0.9983104939248706,0.9992639764472464,0.9968873210209588,0.9997336668287824,0.998074233888189,0.9973617472513542
hybrid_simple.csv,checkpoint,hybrid,hybrid,hybrid_simple_3c,hybrid_simple,test,illumina_view,view,illumina_view,"10,11",ALL,183851,0.9996954055185991,0.9997049709681506,0.9996965272813334,0.9997134473953364,0.9996954019259466,0.9997112145034494,0.9998716302952504,0.9993920048639612,0.9996318175796056,0.9997914159642012,0.9998395430183168,124624,59175,36,16,0.9997171622672708,0.9996318175796056,0.9997112145034494,0.9998716302952504,0.9993920048639612,0.9997914159642012,0.9998395430183168
hybrid_simple.csv,checkpoint,hybrid,hybrid,hybrid_simple_3c,hybrid_simple,test,ont_view,view,ont_view,"1,11",ALL,409353,0.9988665039709004,0.9985595442120628,0.9979700220965604,0.9991527698245216,0.99886552802552,0.9994778621719302,0.9968753305721236,0.9997765831180618,0.9983259568450928,0.9981748999856488,0.9973947520534684,122509,286396,64,384,0.9989055900408692,0.9983259568450928,0.9994778621719302,0.9968753305721236,0.9997765831180618,0.9981748999856488,0.9973947520534684
